•咪咕频道1•,#genre#
咪咕直播 𝟚𝟡•,http://gslbserv.itv.cmvideo.cn:80/3000000010000021904/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟘•,http://gslbserv.itv.cmvideo.cn:80/3000000010000023434/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟙•,http://gslbserv.itv.cmvideo.cn:80/3000000010000025380/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟚•,http://gslbserv.itv.cmvideo.cn:80/3000000010000027691/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟛•,http://gslbserv.itv.cmvideo.cn:80/3000000010000031669/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟜•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟝•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011519/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟞•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011520/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟟•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011521/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟠•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011522/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989

•香港「Relay」,#genre#
翡翠台,https://cdn.1989.click/hk/vzsrrf?token=355a893baaa6e15acdea2582d44a65a12f4273dac4328844
無綫新聞台,https://cdn.1989.click/hk/7kjggj?token=355a893baaa6e15acdea2582d44a65a12f4273dac4328844
TVB Plus,https://cdn.1989.click/hk/t5qy4s?token=355a893baaa6e15acdea2582d44a65a12f4273dac4328844
ViuTV,https://iptv.1989.click/hk/mcnm8s?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
ViuTVsix,https://iptv.1989.click/hk/cy8tmr?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now直播台,https://iptv.1989.click/hk/656pft?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now新聞台,https://iptv.1989.click/hk/r4k5tn?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now財經台,https://iptv.1989.click/hk/9xp8pu?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now Sports 精選,https://iptv.1989.click/hk/tbshga?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now Sports 617,https://iptv.1989.click/hkg/c993r7?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Now Sports 618,https://iptv.1989.click/hkg/9wfj7w?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
電台·雷霆881,https://iptv.1989.click/hkg/g22gsc?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
電台·叱咤903,https://iptv.1989.click/hkg/mwt78m?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
電台·AM864,https://iptv.1989.click/hkg/jb2t29?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
•央視「Relay」,#genre#
CCTV 1 綜合「Relay」,https://iptv.1989.click/cn/2h56ec?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 2 財經「Relay」,https://iptv.1989.click/cn/q89s7q?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 3 綜藝「Relay」,https://iptv.1989.click/cn/ya7pht?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 4 中文國際「Relay」,https://iptv.1989.click/cn/rte86u?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 5 體育「Relay」,https://iptv.1989.click/cn/t6t4hr?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 5+ 體育賽事「Relay」,https://iptv.1989.click/cn/gramyn?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 6 電影「Relay」,https://iptv.1989.click/cn/bjgjah?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 7 國防軍事「Relay」,https://iptv.1989.click/cn/6y7s78?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 8 電視劇「Relay」,https://iptv.1989.click/cn/8v2npm?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 9 記錄「Relay」,https://iptv.1989.click/cn/6pe6z4?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 10 科教「Relay」,https://iptv.1989.click/cn/pgwmk4?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 11 戲曲「Relay」,https://iptv.1989.click/cn/ypunst?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 12 社會與法「Relay」,https://iptv.1989.click/cn/put9mb?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 13 新聞「Relay」,https://iptv.1989.click/cn/9rkqcj?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 14 少兒「Relay」,https://iptv.1989.click/cn/ncdnag?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 15 音樂「Relay」,https://iptv.1989.click/cn/w4hu45?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 16 奧林匹克「Relay」,https://iptv.1989.click/cn/ym7gtk?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CCTV 17 農村農業「Relay」,https://iptv.1989.click/cn/ctw67a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
北京衛視「Relay」,https://iptv.1989.click/cn/bbajwm?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東方衛視「Relay」,https://iptv.1989.click/cn/jjjhs5?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
廣東衛視「Relay」,https://iptv.1989.click/cn/kwebhe?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
浙江衛視「Relay」,https://iptv.1989.click/cn/vt34d5?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
江蘇衛視「Relay」,https://iptv.1989.click/cn/hvqn8h?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
湖南衛視「Relay」,https://iptv.1989.click/cn/9jvtt2?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
四川衛視「Relay」,https://iptv.1989.click/cn/bnxd3u?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
•台灣「Relay」,#genre#
緯來日本「Relay」,https://iptv.1989.click/tw/8wvx4g?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
緯來體育「Relay」,https://iptv.1989.click/tw/4tpty4?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
緯來電影「Relay」,https://iptv.1989.click/tw/gjq86m?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
緯來綜合「Relay」,https://iptv.1989.click/tw/52uawz?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
緯來戲劇「Relay」,https://iptv.1989.click/tw/bsm79q?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
緯來育樂「Relay」,https://iptv.1989.click/tw/4qzuu7?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
年代新聞「Relay」,https://iptv.1989.click/tw/b6m8eh?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
中天亞洲「Relay」,https://iptv.1989.click/tw/7t66sy?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
中天綜合「Relay」,https://iptv.1989.click/tw/kpy2rg?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
中天娛樂「Relay」,https://iptv.1989.click/tw/5ekfk4?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東森電影「Relay」,https://iptv.1989.click/tw/j2pwwv?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東森洋片「Relay」,https://iptv.1989.click/tw/aenjby?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東森綜合「Relay」,https://iptv.1989.click/tw/rs8g2m?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東森戲劇「Relay」,https://iptv.1989.click/tw/4r38zm?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
東森幼幼「Relay」,https://iptv.1989.click/tw/43t54w?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
台視「Relay」,https://iptv.1989.click/tw/bypq4g?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
動物星球「Relay」,https://iptv.1989.click/tw/zwrpf9?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CATCHPLAY 電影「Relay」,https://iptv.1989.click/tw/ys8dv8?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍祥時代「Relay」,https://iptv.1989.click/tw/7k6nkq?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
CINEMAX「Relay」,https://iptv.1989.click/tw/mq523a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
好萊塢電影「Relay」,https://iptv.1989.click/tw/mvfwag?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
MTV Live「Relay」,https://iptv.1989.click/tw/4pvvjt?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華偶像「ofiii」,https://iptv.1989.click/ofiii/gxdqdh?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華卡通「ofiii」,https://iptv.1989.click/ofiii/ec6xhm?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華戲劇「ofiii」,https://iptv.1989.click/ofiii/qc2vy2?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華日韓「ofiii」,https://iptv.1989.click/ofiii/mjnxe3?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華洋片「ofiii」,https://iptv.1989.click/ofiii/mqj3vr?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華經典「ofiii」,https://iptv.1989.click/ofiii/xp9jk6?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
龍華電影「ofiii」,https://iptv.1989.click/ofiii/wwqqvp?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
台視新聞「ofiii」,https://iptv.1989.click/ofiii/7evxdp?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
台灣戲劇「ofiii」,https://iptv.1989.click/ofiii/u24qyu?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
寰宇財經「ofiii」,https://iptv.1989.click/ofiii/zcypu7?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
DayStar「ofiii」,https://iptv.1989.click/ofiii/tuh46a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
第1商業「ofiii」,https://iptv.1989.click/ofiii/tyvcpe?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Smart知識「ofiii」,https://iptv.1989.click/ofiii/wqtccp?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
•體育「Relay」,#genre#
TNT Sport 1,https://iptv.1989.click/sprt/bb7rq5?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
TNT Sport 2,https://iptv.1989.click/sprt/4evmph?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
TNT Sport 3,https://iptv.1989.click/sprt/ahpn8a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
TNT Sport 4,https://iptv.1989.click/sprt/nk2g7a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Eurosport 1,https://iptv.1989.click/sprt/b7c2ur?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Eurosport 2,https://iptv.1989.click/sprt/me3udb?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
beIN Sports,https://iptv.1989.click/sprt/2hctcp?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
beIN Sports 2,https://iptv.1989.click/sprt/9ze4pc?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
beIN Sports 3,https://iptv.1989.click/sprt/8xsjua?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
beIN Sports 4,https://iptv.1989.click/sprt/c5hdab?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
beIN Sports 5,https://iptv.1989.click/sprt/7vwx3u?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 1,https://iptv.1989.click/sprt/2t8zzs?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 2,https://iptv.1989.click/sprt/sqrs3v?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 3,https://iptv.1989.click/sprt/3pxt82?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 4,https://iptv.1989.click/sprt/rqx5tt?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 5,https://iptv.1989.click/sprt/n6rzt3?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Premier 6,https://iptv.1989.click/sprt/ur6eyx?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 1,https://iptv.1989.click/sprt/fm2t8a?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 2,https://iptv.1989.click/sprt/grqaju?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 3,https://iptv.1989.click/sprt/97fkk8?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 4,https://iptv.1989.click/sprt/jbkvtk?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 5,https://iptv.1989.click/sprt/eh28dv?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 6,https://iptv.1989.click/sprt/82km98?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 7,https://iptv.1989.click/sprt/xz3m3k?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Hub Sports 8,https://iptv.1989.click/sprt/chtmat?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Spotv 1,https://iptv.1989.click/sprt/68s6t6?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Spotv 2,https://iptv.1989.click/sprt/nq873w?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
FIGHT SPORTS,https://iptv.1989.click/sprt/rbq5py?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
•綜合「Relay」,#genre#
BBC Earth,https://iptv.1989.click/comp/2mxveq?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
BBC Lifestyle,https://iptv.1989.click/comp/2hnpmj?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Discovery,https://iptv.1989.click/comp/w2e57x?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
HBO,https://iptv.1989.click/comp/4uwqpp?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
HBO Hits,https://iptv.1989.click/comp/auvjcz?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
HBO Family,https://iptv.1989.click/comp/8qqw38?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
HBO Signature,https://iptv.1989.click/comp/f9jv9x?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Channel 5,https://iptv.1989.click/comp/r5cnzh?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Channel 8,https://iptv.1989.click/comp/2e6rhg?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
Channel U,https://iptv.1989.click/comp/ubytxe?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
中天亞洲,https://iptv.1989.click/comp/63m752?token=4cbf260b8f0662165aacbbe652b969511cc7918859839913
•港澳台「Juli」,#genre#
翡翠台,https://cdn.qd.je/163189/fct
翡翠台 4K「字幕」,https://cdn.qd.je/163189/fct4k
翡翠台「字幕」,https://cdn.qd.je/163189/fct2
翡翠台「WebVTT字幕」,https://cdn.qd.je/163189/fctvtt
明珠台「字幕」,https://cdn.qd.je/163189/mzt
明珠台「WebVTT字幕」,https://cdn.qd.je/163189/mztvtt
無綫新聞台,https://cdn.qd.je/163189/wxxw
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus「字幕」,https://cdn.qd.je/163189/tvbp
TVB Plus「WebVTT字幕」,https://cdn.qd.je/163189/tvbpvtt
黄金华剧台「WebVTT字幕」,https://cdn.qd.je/163189/hjhjt
NOW新闻台,https://cdn.qd.je/163189/now
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰香港,https://cdn.qd.je/163189/fhhk
CCTV 1「港澳版」,https://cdn.qd.je/163189/cctv1
CCTV 13,https://cdn.qd.je/163189/cctv13-2
HOY TV,https://cdn.qd.je/163189/hoy
HOY TV,https://cdn.qd.je/163189/hoy2
HOY 資訊台,https://cdn.qd.je/163189/hoy78
HOY 國際財經台,https://cdn.qd.je/163189/hoy76
ViuTV,https://cdn.qd.je/163189/viu
ViuTVsix,https://cdn.qd.je/163189/viu6
RTHK31,https://cdn.qd.je/163189/rthk31
RTHK32,https://cdn.qd.je/163189/rthk32
澳視澳門,https://cdn.qd.je/163189/asam
澳門衛星,https://cdn.qd.je/163189/as
澳門體育,https://cdn.qd.je/163189/amty
澳門綜藝,https://cdn.qd.je/163189/amzy
澳門莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
翡翠剧集台,https://cdn.qd.je/163189/tvbd
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
八度空间,https://cdn.qd.je/163189/8tv
CH5,https://cdn.qd.je/163189/ch5
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华戏剧,https://cdn.qd.je/163189/lhxj
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华卡通,https://cdn.qd.je/163189/lhkt
金光布袋戏,https://cdn.qd.je/163189/jgbdx
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
TVB娱乐新闻台,https://cdn.qd.je/163189/ylxw
TVB星河,https://cdn.qd.je/163189/tvbxh
海峡卫视,https://cdn.qd.je/163189/hxws
海峡卫视,https://cdn.qd.je/163189/hxws2
TVB星河,https://cdn.qd.je/163189/xinghe
天映新加坡,https://cdn.qd.je/163189/typd
天映经典,https://cdn.qd.je/163189/ccm
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
Astro AOD,https://cdn.qd.je/163189/aod
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV5,https://cdn.qd.je/163189/cctv5
CCTV5,https://cdn.qd.je/163189/cctv5-2
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,https://cdn.qd.je/163189/cctv5p-2
CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
