•港台 ,#genre#
咪咕直播 𝟙𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000003915/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000004193/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000005837/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005837&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000006077/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006077&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000006658/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=YanG-1989
咪咕直播 𝟙𝟡「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000009788/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000009788&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟘「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000010833/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000010833&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000011297/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000012558/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012558&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000012616/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000012616&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015470/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015470&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000015560/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015560&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000017678/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000017678&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000019839/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000019839&livemode=1&stbId=YanG-1989
咪咕直播 𝟚𝟡「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000021904/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟘「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000023434/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟙「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000025380/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟚「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000027691/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟛「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000010000031669/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟜「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟝「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011519/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011520/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011521/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011522/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989

•央视高清 ,#genre#

CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV15,http://p.ytelc.com/169l/0/cctv.php?id=cctv15
CCTV16,http://p.ytelc.com/169l/0/cctv.php?id=cctv16
CCTV17,http://p.ytelc.com/169l/0/cctv.php?id=cctv17
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
金鹰纪实,http://iptv.huuc.edu.cn/hls/gedocu.m3u8
北京新闻,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
山东教育,http://iptv.huuc.edu.cn/hls/sdetv.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东大湾区,http://222.128.55.152:9080/live/dwq.m3u8
广东新闻,http://119.32.12.17:2901/udp/224.1.100.5:11111
广东公共,http://218.13.14.6:60050/tsfile/live/1020_1.m3u8
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
广东珠江高清,http://119.32.12.17:2901/udp/225.1.101.106:7523
信宜综合网页,video://https://web.guangdianyun.tv/tv/?id=643&uin=1629
广东珠江频道,http://bxtv.3a.ink/api.php?id=gdzj
广东体育频道,http://bxtv.3a.ink/api.php?id=gdty
tvbs新闻油管,https://live.iill.top/youtube/2mCSYvcfhtc

•4k ,#genre#

北京卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.51:5140
东方卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.67:5140
浙江卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.65:5140
江苏卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.64:5140
湖南卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.63:5140
广东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.103:5140 
深圳卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.104:5140
山东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.62:5140
北京卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
山东卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140
北京卫视频4k,http://49.235.65.250:600/beijing/beijing.php?id=bjws4k
深圳卫视频4k,https://livepull-tcms.sztv.com.cn/live/sz4Kpgm.m3u8
苏州4k频道超,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4k频道超,https://event.pull.hebtv.com:443/live/live101.m3u8
芒果4k频道超,https://ffmpeg.pendy.dpdns.org/mgtv/mgtv.m3u8

•电影电视剧 ,#genre#

志愿军三HDtc,http://jx.999315.xyz/ffzy/20251002/45987_4fcd88ed/index.m3u8
东极岛国语hd,http://jx.999315.xyz/yzzy/20251004/1208_a58149d3/index.m3u8
南京照相馆'tc,https://cdn.yzzy29-play.com/20250728/431_66368270/index.m3u8
戏台国语超hd,http://jx.999315.xyz/yzzy/20250912/1627_97d01458/index.m3u8
浪浪山小妖hd,https://vodcnd10.rsfcxq.com/20250824/oJJqywWX/index.m3u8
哪吒魔童闹海,https://cdn.yzzy29-play.com/20250801/461_0353ab4c/index.m3u8
2025-9-3阅兵,http://jx.999315.xyz/yzzy/20250903/20785_ad349260/index.m3u8
正义必胜晚会,http://jx.999315.xyz/yzzy/20250905/21018_6395ac11/index.m3u8
阅兵装备详解,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8bc3d97bc5b9e4f037001991f54f4f9_258.mp4
朝鲜视角阅兵,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8be81aabc2e7a4f03700199282ce8e4_258.mp4
第一滴血全集,http://iptv.hn.cn:1258/yy/1354932355
速度与激情集,http://iptv.hn.cn:1258/yy/1382736911
雪中悍刀行剧,http://cfss.cc/cdn/hy/11336592.m3u8
庆余年一轮播,http://cfss.cc/cdn/hy/11352960.m3u8
庆余年二轮播,http://cfss.cc/cdn/hy/23740156.m3u8
美剧解说轮播,http://81.70.10.196:35455/douyu/9643264
经典美剧解说,http://81.70.10.196:35455/douyu/9123570
96笑傲江湖粤,http://81.70.10.196:35455/douyu/8912325
83射雕英雄传,http://iptv.hn.cn:1258/yy/1354210357
95神雕侠侣粤,http://iptv.hn.cn:1258/yy/1354926637
87经典红楼梦,http://iptv.hn.cn:1258/yy/1382745084
新白娘子轮播,http://iptv.hn.cn:1258/yy/1354930969
仙剑奇侠传剧,http://iptv.hn.cn:1258/yy/1382749903
花千骨电视剧,http://iptv.hn.cn:1258/yy/1354943110
鹊刀门传奇剧,http://iptv.hn.cn:1258/yy/1355344777
传闻中的芊芊,http://cfss.cc/cdn/hy/21059608.m3u8
如懿传电视剧,http://cfss.cc/cdn/hy/29465868.m3u8
芈月传电视剧,http://cfss.cc/cdn/hy/11352975.m3u8
延禧攻略轮播,http://cfss.cc/cdn/hy/26355864.m3u8
与凤行电视剧,http://cfss.cc/cdn/hy/26355866.m3u8
柳舟记电视剧,http://cfss.cc/cdn/hy/23860039.m3u8
开端电视轮播,http://cfss.cc/cdn/hy/11342397.m3u8
我爱男保姆播,http://cfss.cc/cdn/hy/29581262.m3u8
欢乐颂电视剧,http://81.70.10.196:35455/douyu/3756989
好先生电视剧,http://81.70.10.196:35455/douyu/9650792
我的体育老师,http://iptv.hn.cn:1258/yy/1382745169
如果岁月轮播,http://iptv.hn.cn:1258/yy/1382736883
流金岁月轮播,http://iptv.hn.cn:1258/yy/1382749906
我的前半生剧,http://iptv.hn.cn:1258/yy/1382735564
伪装者电视剧,http://iptv.hn.cn:1258/yy/1354936244
火蓝刀锋轮播,http://iptv.hn.cn:1258/yy/1382737892
二炮手电视剧,http://iptv.hn.cn:1258/yy/1354930964
炮神电视轮播,http://iptv.hn.cn:1258/yy/22089862
风筝电视轮播,http://iptv.hn.cn:1258/yy/1354931585
渗透电视轮播,http://cfss.cc/cdn/hy/30080244.m3u8
亮剑电视轮播,http://cfss.cc/cdn/hy/30080238.m3u8
雪豹电视轮播,http://cfss.cc/cdn/hy/29580970.m3u8
武林外传轮播,http://iptv.hn.cn:1258/yy/1355652820
科幻Fans轮播,http://81.70.10.196:35455/douyu/3508304
科幻解说轮播,http://81.70.10.196:35455/douyu/9338839
科幻梦工场播,http://cfss.cc/cdn/hy/15152155.m3u8
脱口秀大会肆,http://cfss.cc/cdn/hy/30080243.m3u8
脱口秀大会伍,http://cfss.cc/cdn/hy/11352875.m3u8
娱乐扒叔轮播,http://81.70.10.196:35455/douyu/9624581
粤语综艺轮播,http://81.70.10.196:35455/douyu/7919720
粤语星爷电影,http://cfss.cc/cdn/hy/11336587.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰电影频道,http://122.224.58.42:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
动作电影频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.94:8012%24%E5%B1%B1%E8%A5%BFuni2+
家庭影院频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.240:9820%24%E5%B1%B1%E8%A5%BFuni2+
影迷电影频道,http://ds920.dsmynas.net:5555/rtp/226.0.2.93:8004%24%E5%B1%B1%E8%A5%BFuni2+
重温经典频道,http://120.76.248.139/live/bfgd/4200000635.m3u8
邵氏影院频视,http://81.70.10.196:35455/douyu/4246519


•虎牙频道 ,#genre#

放映厅播频道,http://cfss.cc/cdn/hy/11602077.m3u8
刘德华播频道,http://cfss.cc/cdn/hy/11342424.m3u8
许冠英播频道,http://cfss.cc/cdn/hy/11601972.m3u8
李连杰播频道,http://cfss.cc/cdn/hy/11342390.m3u8
甄子丹播频道,http://cfss.cc/cdn/hy/11352935.m3u8
周润发播频道,http://cfss.cc/cdn/hy/11342387.m3u8
周星星播频道,http://cfss.cc/cdn/hy/11336587.m3u8
洪金宝播频道,http://cfss.cc/cdn/hy/11279251.m3u8
梁家辉播频道,http://cfss.cc/cdn/hy/11342429.m3u8
洪金宝播频道,http://cfss.cc/cdn/hy/11279251.m3u8
五福星播频道,http://cfss.cc/cdn/hy/11282233.m3u8
古天乐播频道,http://cfss.cc/cdn/hy/11602041.m3u8
邱淑贞播频道,http://cfss.cc/cdn/hy/11352949.m3u8
周海媚播频道,http://cfss.cc/cdn/hy/11279247.m3u8
星爷虎牙频道,http://cfss.cc/cdn/hy/11342412.m3u8
英叔虎牙频道,http://cfss.cc/cdn/hy/11342421.m3u8
成龙虎牙频道,http://cfss.cc/cdn/hy/11342386.m3u8
王晶虎牙频道,http://cfss.cc/cdn/hy/11602058.m3u8
沈腾虎牙频道,http://cfss.cc/cdn/hy/11601968.m3u8
黄渤虎牙频道,http://cfss.cc/cdn/hy/11352876.m3u8
吴京虎牙频道,http://cfss.cc/cdn/hy/11602041.m3u8
强森虎牙频道,http://cfss.cc/cdn/hy/21059581.m3u8
玄幻虎牙频道,http://cfss.cc/cdn/hy/11342414.m3u8
喜剧虎牙频道,http://cfss.cc/cdn/hy/11352877.m3u8
港片虎牙频道,http://cfss.cc/cdn/hy/11602043.m3u8
国产虎牙频道,http://cfss.cc/cdn/hy/11352973.m3u8
漫威虎牙频道,http://cfss.cc/cdn/hy/11602034.m3u8
宇宙虎牙频道,http://cfss.cc/cdn/hy/11342428.m3u8
怪兽虎牙频道,http://cfss.cc/cdn/hy/21059577.m3u8
武侠虎牙频道,http://cfss.cc/cdn/hy/11342427.m3u8
警匪虎牙频道,http://cfss.cc/cdn/hy/11352886.m3u8
罪犯虎牙频道,http://cfss.cc/cdn/hy/11352962.m3u8
枪战虎牙频道,http://cfss.cc/cdn/hy/21059579.m3u8
盗墓虎牙频道,http://cfss.cc/cdn/hy/21059552.m3u8
海盗虎牙频道,http://cfss.cc/cdn/hy/21059595.m3u8
推荐虎牙频道,http://cfss.cc/cdn/hy/11602041.m3u8
救援虎牙频道,http://cfss.cc/cdn/hy/21059594.m3u8
热血虎牙频道,http://cfss.cc/cdn/hy/11352934.m3u8
谍战虎牙频道,http://cfss.cc/cdn/hy/21059585.m3u8
战争虎牙频道,http://cfss.cc/cdn/hy/21059592.m3u8
小鬼头播频道,http://cfss.cc/cdn/hy/11352963.m3u8
陈翔六点频道,http://cfss.cc/cdn/hy/11274154.m3u8
喜剧专场频道,http://cfss.cc/cdn/hy/11602044.m3u8
高分动作频道,http://cfss.cc/cdn/hy/11352884.m3u8
不挤影院频道,http://cfss.cc/cdn/hy/11352897.m3u8
黑帮斗争频道,http://cfss.cc/cdn/hy/11342419.m3u8
嫣然影厅频道,http://cfss.cc/cdn/hy/11601977.m3u8
女神系列频道,http://cfss.cc/cdn/hy/11336571.m3u8
经典女神频道,http://cfss.cc/cdn/hy/11352909.m3u8
许氏三杰频道,http://cfss.cc/cdn/hy/11602033.m3u8
经典港片频道,http://cfss.cc/cdn/hy/11352965.m3u8
镖行天下频道,http://cfss.cc/cdn/hy/11352969.m3u8
蘑菇影厅频道,http://cfss.cc/cdn/hy/11601981.m3u8
搞笑恐怖频道,http://cfss.cc/cdn/hy/11601960.m3u8
死神来了频道,http://cfss.cc/cdn/hy/11352903.m3u8
超异能族频道,http://cfss.cc/cdn/hy/21059586.m3u8
古墓系列频道,http://cfss.cc/cdn/hy/11352913.m3u8
动作电影频道,http://cfss.cc/cdn/hy/11602077.m3u8
搞笑喜剧频道,http://cfss.cc/cdn/hy/11342423.m3u8
欢笑影院频道,http://cfss.cc/cdn/hy/11352894.m3u8
国产悬疑频道,http://cfss.cc/cdn/hy/11342395.m3u8
快意江湖频道,http://cfss.cc/cdn/hy/11342435.m3u8
喜乐影院频道,http://cfss.cc/cdn/hy/21059580.m3u8
怪兽系列频道,http://cfss.cc/cdn/hy/21059554.m3u8
杰森斯坦频道,http://cfss.cc/cdn/hy/21059588.m3u8
寻秦记播频道,http://cfss.cc/cdn/hy/29465848.m3u8
寻秦记播频道,http://cfss.cc/cdn/hy/29633850.m3u8
西游记播频道,http://cfss.cc/cdn/hy/29465859.m3u8
扫黄先锋频道,http://cfss.cc/cdn/hy/29465855.m3u8
楚汉骄雄频道,http://cfss.cc/cdn/hy/29465854.m3u8
陀枪师姐频道,http://cfss.cc/cdn/hy/29465857.m3u8
法证先锋频道,http://cfss.cc/cdn/hy/29465861.m3u8
刑事侦缉频道,http://cfss.cc/cdn/hy/29465856.m3u8
笑看风云频道,http://cfss.cc/cdn/hy/29465858.m3u8
大唐双龙频道,http://cfss.cc/cdn/hy/29465850.m3u8
洗冤录播频道,http://cfss.cc/cdn/hy/29465851.m3u8
金枝欲孽频道,http://cfss.cc/cdn/hy/29465847.m3u8
野蛮奶奶频道,http://cfss.cc/cdn/hy/23863796.m3u8
创世纪播频道,http://cfss.cc/cdn/hy/29465852.m3u8
封神榜播频道,http://cfss.cc/cdn/hy/29465849.m3u8
神雕侠侣频道,http://cfss.cc/cdn/hy/30454429.m3u8
妙手仁心频道,http://cfss.cc/cdn/hy/29465853.m3u8
活佛济公频道,http://cfss.cc/cdn/hy/23903123.m3u8
倚天屠龙频道,http://cfss.cc/cdn/hy/27834853.m3u8
鹿鼎记98频道,http://cfss.cc/cdn/hy/26355806.m3u8
小李飞刀频道,http://cfss.cc/cdn/hy/11342417.m3u8
水月洞天频道,http://cfss.cc/cdn/hy/21059567.m3u8
绝代双娇频道,http://cfss.cc/cdn/hy/29465867.m3u8
风云雄霸频道,http://cfss.cc/cdn/hy/21059612.m3u8
如懿传播频道,http://cfss.cc/cdn/hy/29465868.m3u8
芈月传播频道,http://cfss.cc/cdn/hy/11352975.m3u8
延禧攻略频道,http://cfss.cc/cdn/hy/26355864.m3u8
王子青蛙频道,http://cfss.cc/cdn/hy/11601964.m3u8
永夜星河频道,http://cfss.cc/cdn/hy/23734169.m3u8
玫瑰故事频道,http://cfss.cc/cdn/hy/23865142.m3u8
漫长季节频道,http://cfss.cc/cdn/hy/11342393.m3u8
梦华录播频道,http://cfss.cc/cdn/hy/11336590.m3u8
乌龙院闯频道,http://cfss.cc/cdn/hy/26355767.m3u8
新楚留香频道,http://cfss.cc/cdn/hy/26355848.m3u8
新楚留香频道,http://cfss.cc/cdn/hy/23863804.m3u8
无心法师频道,http://cfss.cc/cdn/hy/30080233.m3u8
征服虎牙频道,http://cfss.cc/cdn/hy/30311494.m3u8
蜡笔小新频道,http://cfss.cc/cdn/hy/30299353.m3u8
海绵宝宝频道,http://cfss.cc/cdn/hy/11352919.m3u8
龙珠虎牙频道,http://cfss.cc/cdn/hy/10279885.m3u8
叮当全集频道,http://cfss.cc/cdn/hy/11601963.m3u8
樱桃小丸频道,http://cfss.cc/cdn/hy/11342394.m3u8
猫和老鼠频道,http://cfss.cc/cdn/hy/11352879.m3u8
精绝古城频道,http://cfss.cc/cdn/hy/11352871.m3u8
怒晴湘西频道,http://cfss.cc/cdn/hy/11602075.m3u8
龙岭迷窟频道,http://cfss.cc/cdn/hy/29465863.m3u8
云南虫谷频道,http://cfss.cc/cdn/hy/11352898.m3u8
JJ斗地主频道,http://cfss.cc/cdn/hy/14079954.m3u8
亮剑虎牙频道,http://cfss.cc/cdn/hy/30080238.m3u8
民兵葛二频道,http://cfss.cc/cdn/hy/11602072.m3u8
我的团长频道,http://cfss.cc/cdn/hy/11352910.m3u8
铁道游击频道,http://cfss.cc/cdn/hy/11352936.m3u8
铁梨花播频道,http://cfss.cc/cdn/hy/11352912.m3u8
康熙微服频道,http://cfss.cc/cdn/hy/11342418.m3u8
