#重庆移动易视腾 第三方代理 订阅 https://live.404003.xyz/txt/重庆移动代理.txt
央视,#genre#
CCTV-11,http://hnyst.130519.xyz/000000001666/100000000100111011/1.m3u8?IASHttpSessionId=OTT
CCTV-11,http://hnyst.130519.xyz/000000001777/400000000100111007/1.m3u8?IASHttpSessionId=OTT
CCTV-12,http://hnyst.130519.xyz/000000001666/100000000100111012/1.m3u8?IASHttpSessionId=OTT
CCTV-12,http://hnyst.130519.xyz/000000001777/400000000100111008/1.m3u8?IASHttpSessionId=OTT
CCTV-13,http://hnyst.130519.xyz/000000001666/100000000100111013/1.m3u8?IASHttpSessionId=OTT
CCTV-13,http://hnyst.130519.xyz/000000001777/400000000100111009/1.m3u8?IASHttpSessionId=OTT
CCTV-14,http://hnyst.130519.xyz/000000001666/100000000100111014/1.m3u8?IASHttpSessionId=OTT
CCTV-14,http://hnyst.130519.xyz/000000001777/400000000100111010/1.m3u8?IASHttpSessionId=OTT
CCTV-15,http://hnyst.130519.xyz/000000001666/100000000100111015/1.m3u8?IASHttpSessionId=OTT
CCTV-15,http://hnyst.130519.xyz/000000001777/400000000100111011/1.m3u8?IASHttpSessionId=OTT
CCTV-16 4K,http://hnyst.130519.xyz/000000001666/100000000100111092/1.m3u8?IASHttpSessionId=OTT
CCTV-16,http://hnyst.130519.xyz/000000001666/100000000100111091/1.m3u8?IASHttpSessionId=OTT
CCTV-17,http://hnyst.130519.xyz/000000001666/100000000100111016/1.m3u8?IASHttpSessionId=OTT
CCTV-17,http://hnyst.130519.xyz/000000001777/400000000100111012/1.m3u8?IASHttpSessionId=OTT

CETV-1,http://hnyst.130519.xyz/000000001666/100000000100111043/1.m3u8?IASHttpSessionId=OTT
CETV-1,http://hnyst.130519.xyz/000000001777/400000000100111064/1.m3u8?IASHttpSessionId=OTT
CETV-2,http://hnyst.130519.xyz/000000001666/100000000100111100/1.m3u8?IASHttpSessionId=OTT
CETV-4,http://hnyst.130519.xyz/000000001666/100000000100111042/1.m3u8?IASHttpSessionId=OTT
CETV-4,http://hnyst.130519.xyz/000000001777/400000000100111063/1.m3u8?IASHttpSessionId=OTT
CGTN,http://hnyst.130519.xyz/000000001666/1000000002000009569/1.m3u8?IASHttpSessionId=OTT
CGTN,http://hnyst.130519.xyz/000000001777/400000000100111070/1.m3u8?IASHttpSessionId=OTT
CGTN俄语频道,http://hnyst.130519.xyz/000000001666/1000000006000280004/1.m3u8?IASHttpSessionId=OTT
CGTN法语频道,http://hnyst.130519.xyz/000000001666/1000000006000280003/1.m3u8?IASHttpSessionId=OTT
CGTN纪录,http://hnyst.130519.xyz/000000001666/100000000100111053/1.m3u8?IASHttpSessionId=OTT
CGTN西班牙语频道,http://hnyst.130519.xyz/000000001666/1000000006000280002/1.m3u8?IASHttpSessionId=OTT
CGTN阿拉伯语频道,http://hnyst.130519.xyz/000000001666/1000000006000280001/1.m3u8?IASHttpSessionId=OTT
高尔夫网球,http://hnyst.130519.xyz/000000001666/100000000100111107/1.m3u8?IASHttpSessionId=OTT
高尔夫网球,http://hnyst.130519.xyz/000000001777/400000000100111069/1.m3u8?IASHttpSessionId=OTT


卫视,#genre#
湖南卫视,http://hnyst.130519.xyz/000000001666/100000000100111023/1.m3u8?IASHttpSessionId=OTT
湖南卫视,http://hnyst.130519.xyz/000000001777/400000000100111047/1.m3u8?IASHttpSessionId=OTT
浙江卫视,http://hnyst.130519.xyz/000000001666/100000000100111020/1.m3u8?IASHttpSessionId=OTT
浙江卫视,http://hnyst.130519.xyz/000000001777/400000000100111027/1.m3u8?IASHttpSessionId=OTT
江苏卫视,http://hnyst.130519.xyz/000000001666/100000000100111021/1.m3u8?IASHttpSessionId=OTT
江苏卫视,http://hnyst.130519.xyz/000000001777/400000000100111026/1.m3u8?IASHttpSessionId=OTT
河南卫视,http://hnyst.130519.xyz/000000001666/100000000100111090/1.m3u8?IASHttpSessionId=OTT
河南卫视,http://hnyst.130519.xyz/000000001777/400000000100111049/1.m3u8?IASHttpSessionId=OTT
北京卫视,http://hnyst.130519.xyz/000000001666/100000000100111018/1.m3u8?IASHttpSessionId=OTT
北京卫视,http://hnyst.130519.xyz/000000001777/400000000100111030/1.m3u8?IASHttpSessionId=OTT
东南卫视,http://hnyst.130519.xyz/000000001666/100000000100111028/1.m3u8?IASHttpSessionId=OTT
东南卫视,http://hnyst.130519.xyz/000000001777/400000000100111044/1.m3u8?IASHttpSessionId=OTT
东方卫视,http://hnyst.130519.xyz/000000001666/100000000100111024/1.m3u8?IASHttpSessionId=OTT
东方卫视,http://hnyst.130519.xyz/000000001777/400000000100111028/1.m3u8?IASHttpSessionId=OTT
云南卫视,http://hnyst.130519.xyz/000000001666/100000000100111051/1.m3u8?IASHttpSessionId=OTT
云南卫视,http://hnyst.130519.xyz/000000001777/400000000100111035/1.m3u8?IASHttpSessionId=OTT
兵团卫视,http://hnyst.130519.xyz/000000001666/1000000005000266005/1.m3u8?IASHttpSessionId=OTT
内蒙古卫视,http://hnyst.130519.xyz/000000001666/100000000100111041/1.m3u8?IASHttpSessionId=OTT
内蒙古卫视,http://hnyst.130519.xyz/000000001777/400000000100111046/1.m3u8?IASHttpSessionId=OTT
厦门卫视,http://hnyst.130519.xyz/000000001666/1000000005000266006/1.m3u8?IASHttpSessionId=OTT
吉林卫视,http://hnyst.130519.xyz/000000001666/100000000100111049/1.m3u8?IASHttpSessionId=OTT
吉林卫视,http://hnyst.130519.xyz/000000001777/400000000100111056/1.m3u8?IASHttpSessionId=OTT
四川卫视,http://hnyst.130519.xyz/000000001666/100000000100111029/1.m3u8?IASHttpSessionId=OTT
四川卫视,http://hnyst.130519.xyz/000000001777/400000000100111034/1.m3u8?IASHttpSessionId=OTT
天津卫视,http://hnyst.130519.xyz/000000001666/100000000100111025/1.m3u8?IASHttpSessionId=OTT
天津卫视,http://hnyst.130519.xyz/000000001777/400000000100111032/1.m3u8?IASHttpSessionId=OTT
宁夏卫视,http://hnyst.130519.xyz/000000001666/100000000100111039/1.m3u8?IASHttpSessionId=OTT
宁夏卫视,http://hnyst.130519.xyz/000000001777/400000000100111051/1.m3u8?IASHttpSessionId=OTT
安徽卫视,http://hnyst.130519.xyz/000000001666/100000000100111038/1.m3u8?IASHttpSessionId=OTT
安徽卫视,http://hnyst.130519.xyz/000000001777/400000000100111038/1.m3u8?IASHttpSessionId=OTT
山东卫视,http://hnyst.130519.xyz/000000001666/100000000100111037/1.m3u8?IASHttpSessionId=OTT
山东卫视,http://hnyst.130519.xyz/000000001777/400000000100111031/1.m3u8?IASHttpSessionId=OTT
山西卫视,http://hnyst.130519.xyz/000000001666/100000000100111032/1.m3u8?IASHttpSessionId=OTT
山西卫视,http://hnyst.130519.xyz/000000001777/400000000100111039/1.m3u8?IASHttpSessionId=OTT
广东卫视,http://hnyst.130519.xyz/000000001666/100000000100111019/1.m3u8?IASHttpSessionId=OTT
广东卫视,http://hnyst.130519.xyz/000000001777/400000000100111048/1.m3u8?IASHttpSessionId=OTT
广西卫视,http://hnyst.130519.xyz/000000001666/100000000100111030/1.m3u8?IASHttpSessionId=OTT
广西卫视,http://hnyst.130519.xyz/000000001777/400000000100111036/1.m3u8?IASHttpSessionId=OTT
康巴卫视,http://hnyst.130519.xyz/000000001666/1000000005000266002/1.m3u8?IASHttpSessionId=OTT
延边卫视,http://hnyst.130519.xyz/000000001666/1000000005000266008/1.m3u8?IASHttpSessionId=OTT
新疆卫视,http://hnyst.130519.xyz/000000001666/100000000100111050/1.m3u8?IASHttpSessionId=OTT
新疆卫视,http://hnyst.130519.xyz/000000001777/400000000100111054/1.m3u8?IASHttpSessionId=OTT
江西卫视,http://hnyst.130519.xyz/000000001666/100000000100111026/1.m3u8?IASHttpSessionId=OTT
江西卫视,http://hnyst.130519.xyz/000000001777/400000000100111040/1.m3u8?IASHttpSessionId=OTT
河北卫视,http://hnyst.130519.xyz/000000001666/100000000100111031/1.m3u8?IASHttpSessionId=OTT
河北卫视,http://hnyst.130519.xyz/000000001777/400000000100111050/1.m3u8?IASHttpSessionId=OTT
海南卫视,http://hnyst.130519.xyz/000000001666/100000000100111072/1.m3u8?IASHttpSessionId=OTT
海南卫视,http://hnyst.130519.xyz/000000001777/400000000100111042/1.m3u8?IASHttpSessionId=OTT
深圳卫视,http://hnyst.130519.xyz/000000001666/100000000100111022/1.m3u8?IASHttpSessionId=OTT
深圳卫视,http://hnyst.130519.xyz/000000001777/400000000100111029/1.m3u8?IASHttpSessionId=OTT
湖北卫视,http://hnyst.130519.xyz/000000001666/100000000100111035/1.m3u8?IASHttpSessionId=OTT
湖北卫视,http://hnyst.130519.xyz/000000001777/400000000100111041/1.m3u8?IASHttpSessionId=OTT
甘肃卫视,http://hnyst.130519.xyz/000000001666/100000000100111040/1.m3u8?IASHttpSessionId=OTT
甘肃卫视,http://hnyst.130519.xyz/000000001777/400000000100111052/1.m3u8?IASHttpSessionId=OTT
西藏卫视,http://hnyst.130519.xyz/000000001666/100000000100111073/1.m3u8?IASHttpSessionId=OTT
西藏卫视,http://hnyst.130519.xyz/000000001777/400000000100111055/1.m3u8?IASHttpSessionId=OTT
贵州卫视,http://hnyst.130519.xyz/000000001666/100000000100111034/1.m3u8?IASHttpSessionId=OTT
贵州卫视,http://hnyst.130519.xyz/000000001777/400000000100111033/1.m3u8?IASHttpSessionId=OTT
辽宁卫视,http://hnyst.130519.xyz/000000001666/100000000100111027/1.m3u8?IASHttpSessionId=OTT
辽宁卫视,http://hnyst.130519.xyz/000000001777/400000000100111045/1.m3u8?IASHttpSessionId=OTT
重庆卫视,http://hnyst.130519.xyz/000000001666/100000000100111017/1.m3u8?IASHttpSessionId=OTT
重庆卫视,http://hnyst.130519.xyz/000000001777/400000000100111013/1.m3u8?IASHttpSessionId=OTT
陕西卫视,http://hnyst.130519.xyz/000000001666/100000000100111033/1.m3u8?IASHttpSessionId=OTT
陕西卫视,http://hnyst.130519.xyz/000000001777/400000000100111043/1.m3u8?IASHttpSessionId=OTT
青海卫视,http://hnyst.130519.xyz/000000001666/100000000100111036/1.m3u8?IASHttpSessionId=OTT
青海卫视,http://hnyst.130519.xyz/000000001777/400000000100111053/1.m3u8?IASHttpSessionId=OTT
黑龙江卫视,http://hnyst.130519.xyz/000000001666/100000000100111052/1.m3u8?IASHttpSessionId=OTT
黑龙江卫视,http://hnyst.130519.xyz/000000001777/400000000100111037/1.m3u8?IASHttpSessionId=OTT

数字,#genre#
求索纪录,http://hnyst.130519.xyz/000000001666/6000000002000032052/1.m3u8?IASHttpSessionId=OTT
求索纪录,http://hnyst.130519.xyz/000000001777/400000000100111068/1.m3u8?IASHttpSessionId=OTT
纯享4K,http://hnyst.130519.xyz/000000001666/100000000100111083/1.m3u8?IASHttpSessionId=OTT
4K专区,http://hnyst.130519.xyz/000000001666/6000000003000004748/1.m3u8?IASHttpSessionId=OTT
金鹰卡通,http://hnyst.130519.xyz/000000001666/100000000100111044/1.m3u8?IASHttpSessionId=OTT
金鹰卡通,http://hnyst.130519.xyz/000000001777/400000000100111073/1.m3u8?IASHttpSessionId=OTT
金鹰纪实,http://hnyst.130519.xyz/000000001666/100000000100111078/1.m3u8?IASHttpSessionId=OTT
优漫卡通,http://hnyst.130519.xyz/000000001666/100000000100111047/1.m3u8?IASHttpSessionId=OTT
北京纪实,http://hnyst.130519.xyz/000000001666/100000000100111076/1.m3u8?IASHttpSessionId=OTT
卡酷卡通,http://hnyst.130519.xyz/000000001666/100000000100111079/1.m3u8?IASHttpSessionId=OTT
卡酷少儿,http://hnyst.130519.xyz/000000001666/100000000100111045/1.m3u8?IASHttpSessionId=OTT
卡酷少儿,http://hnyst.130519.xyz/000000001777/400000000100111066/1.m3u8?IASHttpSessionId=OTT
嘉佳卡通,http://hnyst.130519.xyz/000000001666/100000000100111077/1.m3u8?IASHttpSessionId=OTT
嘉佳卡通,http://hnyst.130519.xyz/000000001777/400000000100111072/1.m3u8?IASHttpSessionId=OTT
山东教育,http://hnyst.130519.xyz/000000001666/100000000100111046/1.m3u8?IASHttpSessionId=OTT
山东教育,http://hnyst.130519.xyz/000000001777/400000000100111065/1.m3u8?IASHttpSessionId=OTT
炫动卡通,http://hnyst.130519.xyz/000000001666/100000000100111048/1.m3u8?IASHttpSessionId=OTT
睛彩广场舞,http://hnyst.130519.xyz/000000001666/100000000100111111/1.m3u8?IASHttpSessionId=OTT
睛彩竞技,http://hnyst.130519.xyz/000000001666/100000000100111094/1.m3u8?IASHttpSessionId=OTT
睛彩篮球,http://hnyst.130519.xyz/000000001666/100000000100111093/1.m3u8?IASHttpSessionId=OTT
睛彩青少,http://hnyst.130519.xyz/000000001666/100000000100111101/1.m3u8?IASHttpSessionId=OTT
精彩影视,http://hnyst.130519.xyz/000000001666/6000000006000320630/1.m3u8?IASHttpSessionId=OTT
精彩影视,http://hnyst.130519.xyz/000000001777/400000000100111067/1.m3u8?IASHttpSessionId=OTT

家电食品,http://hnyst.130519.xyz/000000001666/100000000100111085/1.m3u8?IASHttpSessionId=OTT
康养保健,http://hnyst.130519.xyz/000000001666/100000000100111088/1.m3u8?IASHttpSessionId=OTT
营养饮食,http://hnyst.130519.xyz/000000001666/100000000100111086/1.m3u8?IASHttpSessionId=OTT
银发生活,http://hnyst.130519.xyz/000000001666/100000000100111089/1.m3u8?IASHttpSessionId=OTT
文化收藏,http://hnyst.130519.xyz/000000001666/100000000100111084/1.m3u8?IASHttpSessionId=OTT
精品家居,http://hnyst.130519.xyz/000000001666/100000000100111087/1.m3u8?IASHttpSessionId=OTT
健康养生,http://hnyst.130519.xyz/000000001666/100000000100111104/1.m3u8?IASHttpSessionId=OTT

NewTV,#genre#
黑莓电影,http://hnyst.130519.xyz/000000001666/100000000100111064/1.m3u8?IASHttpSessionId=OTT
黑莓动画,http://hnyst.130519.xyz/000000001666/100000000100111054/1.m3u8?IASHttpSessionId=OTT
超级综艺,http://hnyst.130519.xyz/000000001666/100000000100111002/1.m3u8?IASHttpSessionId=OTT
超级体育,http://hnyst.130519.xyz/000000001666/100000000100111004/1.m3u8?IASHttpSessionId=OTT
超级电影,http://hnyst.130519.xyz/000000001666/100000000100111006/1.m3u8?IASHttpSessionId=OTT
超级电视剧,http://hnyst.130519.xyz/000000001666/100000000100111008/1.m3u8?IASHttpSessionId=OTT
哒啵赛事,http://hnyst.130519.xyz/000000001666/100000000100111055/1.m3u8?IASHttpSessionId=OTT
欢乐剧场,http://hnyst.130519.xyz/000000001666/100000000100111098/1.m3u8?IASHttpSessionId=OTT
古装剧场,http://hnyst.130519.xyz/000000001666/100000000100111056/1.m3u8?IASHttpSessionId=OTT
动作电影,http://hnyst.130519.xyz/000000001666/100000000100111057/1.m3u8?IASHttpSessionId=OTT
军旅剧场,http://hnyst.130519.xyz/000000001666/100000000100111058/1.m3u8?IASHttpSessionId=OTT
家庭剧场,http://hnyst.130519.xyz/000000001666/100000000100111059/1.m3u8?IASHttpSessionId=OTT
惊悚悬疑,http://hnyst.130519.xyz/000000001666/100000000100111060/1.m3u8?IASHttpSessionId=OTT
热播精选,http://hnyst.130519.xyz/000000001666/100000000100111061/1.m3u8?IASHttpSessionId=OTT
精品综合,http://hnyst.130519.xyz/000000001666/100000000100111063/1.m3u8?IASHttpSessionId=OTT
爱情喜剧,http://hnyst.130519.xyz/000000001666/100000000100111065/1.m3u8?IASHttpSessionId=OTT
精品大剧,http://hnyst.130519.xyz/000000001666/100000000100111066/1.m3u8?IASHttpSessionId=OTT
金牌综艺,http://hnyst.130519.xyz/000000001666/100000000100111067/1.m3u8?IASHttpSessionId=OTT
军事评论,http://hnyst.130519.xyz/000000001666/100000000100111068/1.m3u8?IASHttpSessionId=OTT
农业致富,http://hnyst.130519.xyz/000000001666/100000000100111069/1.m3u8?IASHttpSessionId=OTT
精品纪录,http://hnyst.130519.xyz/000000001666/100000000100111070/1.m3u8?IASHttpSessionId=OTT
怡伴健康,http://hnyst.130519.xyz/000000001666/100000000100111071/1.m3u8?IASHttpSessionId=OTT
精品体育,http://hnyst.130519.xyz/000000001666/100000000100111074/1.m3u8?IASHttpSessionId=OTT
潮妈辣婆,http://hnyst.130519.xyz/000000001666/100000000100111075/1.m3u8?IASHttpSessionId=OTT
炫舞未来,http://hnyst.130519.xyz/000000001666/100000000100111081/1.m3u8?IASHttpSessionId=OTT
中国功夫,http://hnyst.130519.xyz/000000001666/100000000100111082/1.m3u8?IASHttpSessionId=OTT

iHOT,#genre#
爱谍战,http://hnyst.130519.xyz/000000001666/6000000006000070630/1.m3u8?IASHttpSessionId=OTT
爱科幻,http://hnyst.130519.xyz/000000001666/6000000006000020630/1.m3u8?IASHttpSessionId=OTT
爱喜剧,http://hnyst.130519.xyz/000000001666/6000000006000010630/1.m3u8?IASHttpSessionId=OTT
爱悬疑,http://hnyst.130519.xyz/000000001666/6000000006000050630/1.m3u8?IASHttpSessionId=OTT
爱院线,http://hnyst.130519.xyz/000000001666/6000000006000030630/1.m3u8?IASHttpSessionId=OTT
爱奇谈,http://hnyst.130519.xyz/000000001666/6000000006000270630/1.m3u8?IASHttpSessionId=OTT
爱浪漫,http://hnyst.130519.xyz/000000001666/6000000006000040630/1.m3u8?IASHttpSessionId=OTT
爱幼教,http://hnyst.130519.xyz/000000001666/6000000006000180630/1.m3u8?IASHttpSessionId=OTT
爱玩具,http://hnyst.130519.xyz/000000001666/6000000006000220630/1.m3u8?IASHttpSessionId=OTT
爱动漫,http://hnyst.130519.xyz/000000001666/6000000006000280630/1.m3u8?IASHttpSessionId=OTT
爱体育,http://hnyst.130519.xyz/000000001666/6000000006000290630/1.m3u8?IASHttpSessionId=OTT
爱赛车,http://hnyst.130519.xyz/000000001666/6000000006000240630/1.m3u8?IASHttpSessionId=OTT
爱旅行,http://hnyst.130519.xyz/000000001666/6000000006000250630/1.m3u8?IASHttpSessionId=OTT
爱科学,http://hnyst.130519.xyz/000000001666/6000000006000160630/1.m3u8?IASHttpSessionId=OTT

重庆,#genre#
CQTV移动高清,http://hnyst.130519.xyz/000000001777/400000000100111023/1.m3u8?IASHttpSessionId=OTT
重庆汽摩高清,http://hnyst.130519.xyz/000000001777/400000000100111022/1.m3u8?IASHttpSessionId=OTT
CQTV红叶高清,http://hnyst.130519.xyz/000000001777/400000000100111021/1.m3u8?IASHttpSessionId=OTT
重庆少儿高清,http://hnyst.130519.xyz/000000001777/400000000100111020/1.m3u8?IASHttpSessionId=OTT
重庆新农村高清,http://hnyst.130519.xyz/000000001777/400000000100111019/1.m3u8?IASHttpSessionId=OTT
重庆娱乐高清,http://hnyst.130519.xyz/000000001777/400000000100111018/1.m3u8?IASHttpSessionId=OTT
重庆红岩文化高清,http://hnyst.130519.xyz/000000001777/400000000100111017/1.m3u8?IASHttpSessionId=OTT
重庆社会与法高清,http://hnyst.130519.xyz/000000001777/400000000100111016/1.m3u8?IASHttpSessionId=OTT
重庆影视剧高清,http://hnyst.130519.xyz/000000001777/400000000100111015/1.m3u8?IASHttpSessionId=OTT
重庆新闻高清,http://hnyst.130519.xyz/000000001777/400000000100111014/1.m3u8?IASHttpSessionId=OTT

党建,http://hnyst.130519.xyz/000000001666/100000000100111099/1.m3u8?IASHttpSessionId=OTT
